"LabID","Pol","Brix","Ash","Fibre"
42735,66.707,18.217,NA,NA
42736,94.885,24.897,NA,NA
42737,88.899,23.631,NA,NA
42738,79.868,21.153,NA,NA
42739,83.849,21.88,NA,NA
42740,95.292,23.833,NA,NA
42741,73.121,19.556,NA,NA
42742,89.092,22.949,NA,NA
42743,66.712,18.693,NA,NA
42744,56.179,15.997,NA,NA
42745,89.018,22.685,NA,NA
42746,79.419,20.413,NA,NA
42747,76.247,19.976,NA,NA
42748,61.707,17.02,NA,NA
42749,79.456,20.825,NA,NA
42750,74.879,19.761,NA,NA
42751,80.531,21.231,NA,NA
42752,92.064,23.594,NA,NA
42753,72.202,19.298,NA,NA
42754,90.831,23.654,NA,NA
42755,89.888,24.2,NA,NA
42756,82.224,21.537,NA,NA
42757,82.433,21.537,NA,NA
42758,87.044,23.182,NA,NA
42759,60.643,17.075,NA,NA
42760,67.6,18.848,NA,NA
42761,95.402,24.571,NA,NA
42762,84.619,22.655,NA,NA
42764,89.776,23.393,NA,NA
42765,86.945,22.9,NA,NA
42766,66.98,18.704,NA,NA
42767,72.792,19.565,NA,NA
42768,96.727,24.614,NA,NA
42769,100.46,25.618,NA,NA
42770,80.999,21.289,NA,NA
42771,78.032,20.83,NA,NA
42772,68.06,18.299,NA,NA
42773,85.968,22.465,NA,NA
42774,93.646,23.775,NA,NA
42775,64.589,17.831,NA,NA
42776,72.172,19.293,NA,NA
42777,77.267,21.312,NA,NA
42778,84.375,21.984,NA,NA
42779,93.722,24.029,NA,NA
42780,75.346,19.682,NA,NA
42782,88.792,22.588,NA,NA
42784,79.075,20.86,NA,NA
42785,91.162,23.258,NA,NA
42786,84.381,21.912,NA,NA
42787,68.374,18.561,NA,NA
42788,74.867,20.215,NA,NA
42789,83.698,21.647,NA,NA
42790,95.296,24.566,NA,NA
42791,89.162,23.195,NA,NA
42792,88.019,22.787,NA,NA
42793,76.146,20.359,NA,NA
42794,67.174,18.235,NA,NA
42795,82.624,21.866,NA,NA
42796,64.597,17.452,NA,NA
42797,86.844,22.524,NA,NA
42798,77.13,19.833,NA,NA
42799,63.913,17.551,NA,NA
42800,74.463,19.625,NA,NA
42801,94.488,24.792,NA,NA
42802,91.068,23.971,NA,NA
42803,90.914,23.365,NA,NA
42804,92.03,23.175,NA,NA
42805,69.07,18.843,NA,NA
42806,76.697,20,NA,NA
42807,72.678,19.317,NA,NA
42808,65.622,18.407,NA,NA
42809,78.808,21.171,NA,NA
42810,67.69,18.639,NA,NA
42811,68.314,18.494,NA,NA
