ScanID, DateTime, NIR_Pol, NIR_Brix, NIR_Fibre, NIR_Ash, GH, NH
15802.07,2023-02-21 19:51:23,76.6821,20.2992,14.7699,2.2397,0.85223,0.1231
15802.08,2023-02-21 19:52:00,78.6677,20.655,15.2932,2.4616,0.17406,0.095441
15802.09,2023-02-21 19:52:37,78.0297,20.8298,15.3422,2.2685,-0.068764,0.043905
15803.01,2023-02-21 19:54:17,85.9972,22.3989,14.1637,1.8097,0.80915,0.052763
15803.02,2023-02-21 19:54:56,80.8445,21.4527,14.3496,1.7483,-0.14555,0.22874
15803.04,2023-02-21 19:56:02,85.6753,22.1191,14.4662,1.6326,0.59634,0.24026
15803.05,2023-02-21 19:56:40,81.2822,21.2304,14.7135,2.1292,0.75508,0.28968
15803.06,2023-02-21 19:57:18,80.9405,21.2984,14.8446,1.9625,0.52244,0.10851
15803.07,2023-02-21 19:57:55,84.7747,22.3986,13.882,1.9559,0.80437,0.11804
15803.08,2023-02-21 19:58:32,95.4003,25.1849,16.5686,1.4174,0.026465,0.018436
15803.09,2023-02-21 19:59:05,83.6285,22.0079,13.89,1.6944,0.45773,0.036448
15803.10,2023-02-21 19:59:42,81.7671,21.5011,15.1254,2.0585,0.24511,0.28772
15803.11,2023-02-21 20:00:19,81.821,21.79,13.9673,1.608,0.11844,0.096407
15804.01,2023-02-21 20:01:59,81.3706,21.3743,13.4135,1.5619,0.32508,0.14491
15804.02,2023-02-21 20:02:36,76.763,20.4105,12.8309,1.5614,0.0016642,0.16766
15804.03,2023-02-21 20:03:14,79.8335,21.3767,14.3622,1.0552,0.16666,0.0075742
15804.04,2023-02-21 20:03:51,82.4993,21.9524,13.8228,1.6187,0.04628,0.085365
15804.05,2023-02-21 20:04:28,75.2737,20.2666,14.012,1.9937,0.20523,0.050854
15804.06,2023-02-21 20:05:06,83.8868,21.7764,14.2994,1.4065,0.29139,0.14303
15804.07,2023-02-21 20:05:42,82.5207,21.6423,14.1307,1.8214,0.61949,0.082146
15804.08,2023-02-21 20:06:20,78.9539,20.8076,13.4344,1.8482,0.85144,0.32522
15804.09,2023-02-21 20:06:57,83.0121,21.7608,14.3854,1.4329,0.44364,0.075062
15804.10,2023-02-21 20:07:33,81.5424,21.5552,13.8562,1.7747,0.73868,0.084282
15804.11,2023-02-21 20:08:11,79.837,20.7053,13.9393,1.4169,0.67013,0.039607
15804.12,2023-02-21 20:08:48,81.0206,21.2427,14.5807,1.9137,0.81492,0.18668
15804.13,2023-02-21 20:09:25,85.1716,21.9467,13.7241,1.7393,0.7038,0.0062736
15804.15,2023-02-21 20:10:32,79.3318,20.8731,13.6583,1.3676,0.25689,0.32917
15804.16,2023-02-21 20:11:08,82.2681,21.82,14.5071,1.9624,0.40707,0.27814
15804.17,2023-02-21 20:11:46,83.7774,21.7108,13.482,1.2483,0.32567,0.037971
15804.18,2023-02-21 20:12:23,87.2179,22.594,13.9956,1.5871,0.29347,0.2009
