LabID,Pol,Brix
495,79.516,20.597
496,69.485,19.541
497,71.567,19.928
498,92.545,23.921
499,79.232,20.692
500,71.39,18.717
501,79.332,21.236
502,84.062,21.73
503,81.79,21.57
504,71.71,19.442
505,74.091,20.078
506,73.946,19.707
507,92.217,23.889
508,78.939,21.127
509,64.963,18.301
510,91.321,23.715
511,82.976,23.053
512,88.122,22.911
513,79.041,20.63
514,72.033,19.698
515,76.454,20.53
516,87.026,22.421
517,87.337,22.821
518,85.926,21.95
519,68.083,18.514
520,80.119,21.244
521,70.508,19.111
522,75.534,19.771
523,66.354,18.486
524,75.979,20.709
525,81.07,21.838
526,63.39,17.616
527,82.503,21.973
528,70.783,19.815
529,91.04,23.363
530,88.541,22.789
531,74.624,19.777
532,75.915,20.281
533,89.316,22.6
534,76.169,20.163
535,77.723,20.563
536,76.588,20.138
537,64.241,17.302
538,76.727,20.792
539,87.025,23.051
540,88.106,22.283
541,73.122,19.411
542,91.665,23.72
543,90.616,22.691
544,56.982,16.194
545,74.561,19.282
546,91.446,23.557
547,76.339,19.67
548,90.604,23.133
549,79.208,20.883
550,77.316,21.209
551,84.661,22.393
552,66.039,18.123
553,82.941,22.128
554,74.932,19.708
555,80.852,20.94
556,65.004,17.998
557,89.67,24.093
558,85.348,22.471
559,70.179,18.624
560,80.099,20.891
561,46.976,15.509
562,78.042,20.821
563,76.251,20.038
564,71.792,19.476
565,74.717,20.324
566,84.838,21.939
567,85.152,22.391
568,64.227,17.638
569,68.601,18.435
570,82.68,21.771
571,71.761,19.472
572,87.96,22.511
573,68.904,18.439
574,96.467,24.398
575,76.618,20.018
576,79.158,20.566
577,63.567,18.489
578,77.975,20.602
579,80.152,21.076
580,84.841,22.431
581,91.153,24.174
582,79.574,21.143
583,72.69,19.228
584,89.332,23.308
585,71.591,19.356
586,81.13,21.817
587,63.788,17.956
588,87.92,23.138
589,85.881,22.448
590,68.896,19.212
591,87.131,22.817
592,67.64,18.229
593,63.699,17.83
594,71.019,18.862
595,82.2,21.395
596,70.791,19.249
597,72.916,19.219
598,86.373,22.838
599,74.213,19.99
600,83.285,22.698
601,55.646,17.155
602,90.224,23.328
603,78.29,20.018
604,75.083,20.289
605,96.407,24.572
606,84.803,22.478
607,97.218,24.413
608,90.117,22.901
609,80.913,21.367
610,70.15,18.666
611,77.627,20.201
612,88.301,23.16
613,80.033,21.27
614,84.228,21.376
615,74.383,20.125
616,79.101,21.199
617,72.068,19.987
618,85.893,22.51
619,76.96,20.351
620,66.568,19.506
621,78.997,20.866
622,81.601,20.889
623,79.646,21.209
624,61.174,16.97
625,70.776,18.691
626,78.762,20.822
627,87.153,23.138
628,77.047,20.234
629,67.846,19.075
630,69.259,18.598
631,94.715,24.572
632,70.345,19.355
633,76.255,20.184
634,76.972,20.543
635,64.425,18.322
636,88.184,23.086
637,65.221,18.024
638,94.953,24.403
